Episode,Reward,Steps,Completed,Deadlock
0,-475.70000000000215,500,False,False
0,-405.5000000000018,500,False,False
1,68.45000000000005,54,True,False
2,-425.0000000000022,500,False,False
3,-464.00000000000193,500,False,False
4,-458.1500000000025,500,False,False
5,-487.400000000002,500,False,False
6,-532.2500000000017,500,False,False
7,-526.4000000000017,500,False,False
8,-573.2000000000014,500,False,False
9,-483.50000000000193,500,False,False
10,-503.00000000000193,500,False,False
11,-471.8000000000021,500,False,False
12,-122.54999999999995,52,False,True
13,-475.70000000000226,500,False,False
14,-497.1500000000022,500,False,False
15,-460.1000000000018,500,False,False
16,-491.30000000000206,500,False,False
17,-95.65,21,False,True
18,102.64999999999999,33,True,False
19,-426.9500000000023,500,False,False
20,-481.5500000000022,500,False,False
21,-481.55000000000217,500,False,False
22,-491.300000000002,500,False,False
23,-481.55000000000194,500,False,False
24,-471.8000000000022,500,False,False
25,-483.50000000000216,500,False,False
26,99.65,15,True,False
27,-153.54999999999995,87,False,True
28,-93.85000000000001,24,False,True
29,-469.850000000002,500,False,False
30,107.75,9,True,False
31,-487.4000000000022,500,False,False
32,-483.5000000000018,500,False,False
33,71.15,39,True,False
34,-93.55,18,False,True
35,-95.55000000000001,19,False,True
36,-139.04999999999995,70,False,True
37,-485.45000000000186,500,False,False
38,91.45,23,True,False
39,-499.1000000000019,500,False,False
40,105.65,12,True,False
41,-485.45000000000215,500,False,False
42,13.750000000000085,95,True,False
43,-471.80000000000234,500,False,False
44,68.55000000000001,52,True,False
45,-491.30000000000194,500,False,False
46,99.25,23,True,False
47,-462.05000000000217,500,False,False
48,-169.14999999999992,87,False,True
49,-118.74999999999997,54,False,True
50,84.55,44,True,False
51,-487.40000000000214,500,False,False
52,105.35,18,True,False
53,-503.0000000000017,500,False,False
54,-442.5500000000024,500,False,False
55,-458.150000000002,500,False,False
56,-99.55,21,False,True
57,70.55000000000001,51,True,False
58,105.75,10,True,False
59,34.65000000000008,106,True,False
60,-95.75,23,False,True
61,-479.6000000000021,500,False,False
62,-448.4000000000023,500,False,False
63,99.35,21,True,False
64,-501.05000000000206,500,False,False
65,91.55,21,True,False
66,-114.05000000000001,38,False,True
67,-485.4500000000017,500,False,False
68,-93.45,16,False,True
69,-95.65,21,False,True
70,-93.64999999999999,20,False,True
71,-528.3500000000022,500,False,False
72,70.75000000000001,47,True,False
73,56.95000000000001,50,True,False
74,-483.500000000002,500,False,False
75,105.55000000000001,14,True,False
76,82.55,45,True,False
77,-467.9000000000018,500,False,False
78,-469.8500000000019,500,False,False
79,107.35000000000001,17,True,False
80,97.45,20,True,False
81,-456.2000000000022,500,False,False
82,-101.65,24,False,True
83,109.55,12,True,False
